location,contract_time,redirect_url,latitude,description,__CLASS__,id,salary_min,category,created,salary_max,longitude,salary_is_predicted,title,adref,company,contract_type
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Savage, Anne Arundel County', 'area': ['US', 'Maryland', 'Anne Arundel County', 'Savage']}",full_time,https://www.adzuna.com/land/ad/4456537799?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=F8EC135D4D8F3D7EA42AEF934D5D2B97C7C41C52,39.13205,Build Something to Be Proud Of. Captivation Software has built a reputation on providing customers exactly what is needed in a timely manner. Our team of engineers take pride in what they develop and constantly innovate to provide the best solution. Captivation Software has an immediate need for a mid/senior level software engineer with the ability to quickly understand existing code and system architecture. Experience with multi-threaded programs and databases is desired. Requirements Security…,Adzuna::API::Response::Job,4456537799,145812.33,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",2023-11-29T12:57:48Z,145812.33,-76.799422,1,Software Engineer (Mid/Senior) - Java/Python/Spring Boot/SQL/Bash,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDU2NTM3Nzk5In0.D0rXjc_qY1llzwn9Kb-xri8h3iWqQQXoJWYIpXCchPY,"{'display_name': 'Captivation Software', '__CLASS__': 'Adzuna::API::Response::Company'}",
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['US', 'Maryland', 'Anne Arundel County', 'Savage'], 'display_name': 'Savage, Anne Arundel County'}",full_time,https://www.adzuna.com/land/ad/4456528057?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=3CE25A3831E2E15F949F5969BAC66C68D8C0A45D,39.13205,Build Something to Be Proud Of. Captivation Software has built a reputation on providing customers exactly what is needed in a timely manner. Our team of engineers take pride in what they develop and constantly innovate to provide the best solution. Captivation Software is looking for mid level software engineer to assist with the development of various software for the intelligence community. Requirements Security Clearance: Must currently hold a Top Secret / SCI U.S. Government security clear…,Adzuna::API::Response::Job,4456528057,197734.62,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2023-11-29T12:56:04Z,197734.62,-76.799422,1,Software Engineer 2 (Hybrid) - Python/Java/Data Science/Kubernetes,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDU2NTI4MDU3In0.no_5YlSjsaHj44453SUctOlWXoEWakU-UfGVZOaqWoU,"{'display_name': 'Captivation Software', '__CLASS__': 'Adzuna::API::Response::Company'}",
"{'display_name': 'Baltimore, Baltimore County', 'area': ['US', 'Maryland', 'Baltimore County', 'Baltimore'], '__CLASS__': 'Adzuna::API::Response::Location'}",full_time,https://www.adzuna.com/land/ad/4463988439?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=945E83F9B4BE50C722C2E1ADB984B18D05AD2C6D,39.296337,"Center 1 (19052), United States of America, McLean, VirginiaSenior Software Engineer, Back End (Python, Java)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who love to solve real problems and meet real customer needs. We are seeking Back End Software Engineers who are p…",Adzuna::API::Response::Job,4463988439,54100.19,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2023-12-04T11:56:39Z,54100.19,-76.621054,1,"Senior Software Engineer, Back End (Python, Java)",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDQ2Mzk4ODQzOSIsInMiOiJYQ2Foc2Q2UzdoR05XUGJMR0VoTDd3In0.OPFku7y0ijCpVlx48a2aK-v-ISI9IORkxoGy12Vlo_A,"{'display_name': 'Capital One', '__CLASS__': 'Adzuna::API::Response::Company'}",contract
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['US', 'Virginia', 'Richmond County', 'Richmond City'], 'display_name': 'Richmond City, Richmond County'}",full_time,https://www.adzuna.com/land/ad/4463988504?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=C3158684A706F74762D5B696F23B0A76A853E85F,37.56,"Center 1 (19052), United States of America, McLean, VirginiaSenior Software Engineer, Back End (Python, Java)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who love to solve real problems and meet real customer needs. We are seeking Back End Software Engineers who are p…",Adzuna::API::Response::Job,4463988504,52994.28,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",2023-12-04T11:56:40Z,52994.28,-77.45,1,"Senior Software Engineer, Back End (Python, Java)",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDYzOTg4NTA0In0._C71FPpj4vcXaudr3uPyv4lifpQxBL5zPprhkkpmPxI,"{'display_name': 'Capital One', '__CLASS__': 'Adzuna::API::Response::Company'}",contract
"{'area': ['US', 'Virginia', 'Harrisonburg City', 'Harrisonburg'], 'display_name': 'Harrisonburg, Harrisonburg City', '__CLASS__': 'Adzuna::API::Response::Location'}",full_time,https://www.adzuna.com/land/ad/4463988520?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=D685EC3C3C0A4FF8A71FCE62430F22314F66C542,38.41421,"Center 1 (19052), United States of America, McLean, VirginiaSenior Software Engineer, Back End (Python, Java)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who love to solve real problems and meet real customer needs. We are seeking Back End Software Engineers who are p…",Adzuna::API::Response::Job,4463988520,53714.87,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2023-12-04T11:56:40Z,53714.87,-78.892628,1,"Senior Software Engineer, Back End (Python, Java)",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDYzOTg4NTIwIn0.CzovPWkjYKMcDI6aI8DyJ9rx_efBK1-xU1x5gFlOW04,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Capital One'}",contract
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Richmond City, Richmond County', 'area': ['US', 'Virginia', 'Richmond County', 'Richmond City']}",full_time,https://www.adzuna.com/land/ad/4463987940?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=CCD2D6633E8FEC1DA96439246B1632CC973416EA,37.56,"Center 1 (19052), United States of America, McLean, VirginiaLead Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passion…",Adzuna::API::Response::Job,4463987940,44910.0,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2023-12-04T11:56:34Z,44910.0,-77.45,1,"Lead Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDQ2Mzk4Nzk0MCIsInMiOiJYQ2Foc2Q2UzdoR05XUGJMR0VoTDd3In0.T7jEElDVCHaUd_vTCkN6eB4b8MSWohHnZrmDCfY2EWI,"{'display_name': 'Capital One', '__CLASS__': 'Adzuna::API::Response::Company'}",contract
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['US', 'Virginia', 'Fairfax County', 'Mc Lean'], 'display_name': 'Mc Lean, Fairfax County'}",full_time,https://www.adzuna.com/land/ad/4463988002?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=AF826D9155CA8BB878C5C3B47206FF0E06F38031,38.97,"Center 1 (19052), United States of America, McLean, VirginiaLead Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passion…",Adzuna::API::Response::Job,4463988002,48205.57,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",2023-12-04T11:56:34Z,48205.57,-77.23,1,"Lead Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDQ2Mzk4ODAwMiIsInMiOiJYQ2Foc2Q2UzdoR05XUGJMR0VoTDd3In0.O9VgFKnszCnEV0QRZgMQFQPOhNi1-dYOM60XxN_ohsg,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Capital One'}",contract
"{'display_name': 'Fredericksburg City, Virginia', 'area': ['US', 'Virginia', 'Fredericksburg City'], '__CLASS__': 'Adzuna::API::Response::Location'}",full_time,https://www.adzuna.com/land/ad/4463988265?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=0108C142464257FACDF12573178DB7B8421ACF65,38.296969,"Center 1 (19052), United States of America, McLean, VirginiaLead Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passion…",Adzuna::API::Response::Job,4463988265,46544.72,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2023-12-04T11:56:38Z,46544.72,-77.488102,1,"Lead Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDYzOTg4MjY1In0.SHnD_VY0Sgm0TtYqfuNxjXTZ0PW7ru2_aZjw1cD5FKE,"{'display_name': 'Capital One', '__CLASS__': 'Adzuna::API::Response::Company'}",contract
"{'display_name': 'Charlottesville City, Virginia', 'area': ['US', 'Virginia', 'Charlottesville City'], '__CLASS__': 'Adzuna::API::Response::Location'}",full_time,https://www.adzuna.com/land/ad/4463988287?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=F0254CDAF2CB47E9FBD18F8759AA0BD02315FE89,38.0057,"Center 1 (19052), United States of America, McLean, VirginiaLead Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passion…",Adzuna::API::Response::Job,4463988287,47315.32,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2023-12-04T11:56:38Z,47315.32,-78.510018,1,"Lead Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDYzOTg4Mjg3In0.9WwuKVLG8Wt5YtDO7dGkzj3a9a2VvObUXCpxIHjAeSs,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Capital One'}",contract
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Parkville, Baltimore County', 'area': ['US', 'Maryland', 'Baltimore County', 'Parkville']}",full_time,https://www.adzuna.com/land/ad/4463987112?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=23209E5D3DCC2DD81FDCB776611D82227E09DF57,39.377329,"Center 1 (19052), United States of America, McLean, VirginiaLead Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passion…",Adzuna::API::Response::Job,4463987112,48462.13,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2023-12-04T11:56:25Z,48462.13,-76.539688,1,"Lead Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDQ2Mzk4NzExMiIsInMiOiJYQ2Foc2Q2UzdoR05XUGJMR0VoTDd3In0.7E_kjkwVVVvhH9PmKEuCsosxMrmSWEKYA88IyQ2EdVo,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Capital One'}",contract
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Salisbury, Wicomico County', 'area': ['US', 'Maryland', 'Wicomico County', 'Salisbury']}",full_time,https://www.adzuna.com/land/ad/4463988337?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=1F92BDEF169042C18290679E12C90787610EF871,38.375981,"Center 1 (19052), United States of America, McLean, VirginiaLead Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passion…",Adzuna::API::Response::Job,4463988337,44372.14,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",2023-12-04T11:56:38Z,44372.14,-75.64106,1,"Lead Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDQ2Mzk4ODMzNyIsInMiOiJYQ2Foc2Q2UzdoR05XUGJMR0VoTDd3In0.byVIbEawV2TBAWYMWL8zGMfkNLtKsItp4PYcyCR-2r0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Capital One'}",contract
"{'area': ['US', 'Maryland', 'Wicomico County', 'Fruitland'], 'display_name': 'Fruitland, Wicomico County', '__CLASS__': 'Adzuna::API::Response::Location'}",full_time,https://www.adzuna.com/land/ad/4463986850?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=0FD35D163AA7049D6CCD03FC11F5981A5FEAD46D,38.322063,"Center 1 (19052), United States of America, McLean, VirginiaSenior Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet millions of customers daily. We are seeking Full Stack Software Engineers who a…",Adzuna::API::Response::Job,4463986850,54786.32,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",2023-12-04T11:56:23Z,54786.32,-75.620203,1,"Senior Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDYzOTg2ODUwIn0.cyO9j607C07OoS8qcfdI0JBeXf894jmX6XQ1s8ceUOU,"{'display_name': 'Capital One', '__CLASS__': 'Adzuna::API::Response::Company'}",contract
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Dover, Kent County', 'area': ['US', 'Delaware', 'Kent County', 'Dover']}",full_time,https://www.adzuna.com/land/ad/4463987959?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=AB076EEE974DD000B54B884BB025D59BF946DE25,39.157646,"Center 1 (19052), United States of America, McLean, VirginiaSenior Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet millions of customers daily. We are seeking Full Stack Software Engineers who a…",Adzuna::API::Response::Job,4463987959,60121.04,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2023-12-04T11:56:34Z,60121.04,-75.493994,1,"Senior Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDYzOTg3OTU5In0.kvk6-fZU2Wk2d_ebC0T5_d-hGD73Vnq0mboV8nxrHQU,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Capital One'}",contract
"{'display_name': 'South Bend, St. Joseph County', 'area': ['US', 'Indiana', 'St. Joseph County', 'South Bend'], '__CLASS__': 'Adzuna::API::Response::Location'}",full_time,https://www.adzuna.com/land/ad/4463988142?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=C1CD1741866F403EF41BBDD8F59B4FD27CE41C98,41.672404,"Center 1 (19052), United States of America, McLean, VirginiaSenior Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet millions of customers daily. We are seeking Full Stack Software Engineers who a…",Adzuna::API::Response::Job,4463988142,58183.74,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2023-12-04T11:56:36Z,58183.74,-86.253952,1,"Senior Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDYzOTg4MTQyIn0.4jD1Bem2YL6drnkyJW28l_j1Bs2FD6kZD9UW3kAZs5U,"{'display_name': 'Capital One', '__CLASS__': 'Adzuna::API::Response::Company'}",contract
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Joliet, Will County', 'area': ['US', 'Illinois', 'Will County', 'Joliet']}",full_time,https://www.adzuna.com/land/ad/4463988021?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=BD7020655FE5FBEE7CBC110B1B5CD3B41B2B2507,41.590445,"Center 1 (19052), United States of America, McLean, VirginiaSenior Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet millions of customers daily. We are seeking Full Stack Software Engineers who a…",Adzuna::API::Response::Job,4463988021,58675.43,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",2023-12-04T11:56:34Z,58675.43,-88.094961,1,"Senior Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDYzOTg4MDIxIn0.0sjtZCYac-7Q9O9ACliNEDmHhtg01xI2SByBEBTHdi0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Capital One'}",contract
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['US', 'Michigan', 'Kent County', 'Grand Rapids'], 'display_name': 'Grand Rapids, Kent County'}",full_time,https://www.adzuna.com/land/ad/4463988091?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=B9F3CB81A14DBB5515EFC227500017DEA418279F,42.952658,"Center 1 (19052), United States of America, McLean, VirginiaSenior Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet millions of customers daily. We are seeking Full Stack Software Engineers who a…",Adzuna::API::Response::Job,4463988091,59361.53,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",2023-12-04T11:56:35Z,59361.53,-85.649898,1,"Senior Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDQ2Mzk4ODA5MSIsInMiOiJYQ2Foc2Q2UzdoR05XUGJMR0VoTDd3In0.hix9_GDGjXEQ_FOCsFNOoo4nGdFAVh5KEtW_N-sXBcQ,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Capital One'}",contract
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Peoria, Peoria County', 'area': ['US', 'Illinois', 'Peoria County', 'Peoria']}",full_time,https://www.adzuna.com/land/ad/4463988012?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=42BB8202A716083D6E1CE22CE4630FFE491E81BE,40.685203,"Center 1 (19052), United States of America, McLean, VirginiaSenior Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet millions of customers daily. We are seeking Full Stack Software Engineers who a…",Adzuna::API::Response::Job,4463988012,57205.25,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2023-12-04T11:56:34Z,57205.25,-89.59617,1,"Senior Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDQ2Mzk4ODAxMiIsInMiOiJYQ2Foc2Q2UzdoR05XUGJMR0VoTDd3In0.eBgw4CN67v9cAOkGmEwA4TSSzm2DAHBRttPGbJSnu_o,"{'display_name': 'Capital One', '__CLASS__': 'Adzuna::API::Response::Company'}",contract
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Harrisonburg, Harrisonburg City', 'area': ['US', 'Virginia', 'Harrisonburg City', 'Harrisonburg']}",full_time,https://www.adzuna.com/land/ad/4463988015?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=15742B6941693322ABA909A3520E8A2EC0D67315,38.41421,"Center 1 (19052), United States of America, McLean, VirginiaSenior Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet millions of customers daily. We are seeking Full Stack Software Engineers who a…",Adzuna::API::Response::Job,4463988015,57174.11,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",2023-12-04T11:56:34Z,57174.11,-78.892628,1,"Senior Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDYzOTg4MDE1In0.zOM_UTGIC6RLSSIrsfsfLKlEedpy9N7JiMF4ny5RByg,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Capital One'}",contract
"{'area': ['US'], 'display_name': 'US', '__CLASS__': 'Adzuna::API::Response::Location'}",full_time,https://www.adzuna.com/land/ad/4463986932?se=XCahsd6S7hGNWPbLGEhL7w&utm_medium=api&utm_source=04e67ef5&v=C76D959BF9CDD9CEAE72095EB2F8DD223C287782,,"Center 1 (19052), United States of America, McLean, VirginiaSenior Software Engineer, Full Stack (Java, Python)Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet millions of customers daily. We are seeking Full Stack Software Engineers who a…",Adzuna::API::Response::Job,4463986932,73705.83,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",2023-12-04T11:56:23Z,73705.83,,1,"Senior Software Engineer, Full Stack (Java, Python)",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWENhaHNkNlM3aEdOV1BiTEdFaEw3dyIsImkiOiI0NDYzOTg2OTMyIn0.UXs1ikGAQxW3zm2rnMpcJVfESCg4M2RENflO9b5fMho,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Capital One'}",contract
